index,geohash10,CLASS,HighRisk,MediumRiskTH,MediumRisk,Compliant!,MajorRisk,PriorityRisk
0,w1wr55trg0,ALRO,0.0,770.0625,1796.8125,21290.542030412864,Compliant!,MediumRiskTH
1,w1wr55vm92,NonALRO,0.0,0.0,3764.75,5480.2629255078755,Compliant!,MediumRisk
2,w1wr55s9xn,ALRO,0.0,2566.875,4021.4375,25847.83297900105,Compliant!,MediumRiskTH
3,w1wr55kp9f,NonALRO,1454.5625,0.0,1454.5625,14225.03962426831,Compliant!,HighRisk
4,w1wr5jydec,ALRO,0.0,0.0,0.0,8852.953767012244,Compliant!,Compliant!
5,w1wr5jz6bj,NonALRO,0.0,0.0,0.0,17428.99219711626,Compliant!,Compliant!
6,w1wr5jzdvj,ALRO,0.0,0.0,0.0,26021.364956042293,Compliant!,Compliant!
7,w1wr5n3tp6,NonALRO,0.0,0.0,8812.9375,7657.975793116788,MediumRisk,MediumRisk
8,w1wr5n962c,ALRO,0.0,0.0,0.0,15736.159338667372,Compliant!,Compliant!
9,w1wr51fv3n,NonALRO,0.0,0.0,0.0,7157.6186790482625,Compliant!,Compliant!
10,w1wr51fr6s,ALRO,0.0,0.0,0.0,6317.001295616553,Compliant!,Compliant!
11,w1wr5459rk,NonALRO,0.0,0.0,0.0,19604.442060812937,Compliant!,Compliant!
12,w1wr513hfz,ALRO,0.0,0.0,0.0,4540.074925652035,Compliant!,Compliant!
13,w1wr5137ny,NonALRO,0.0,0.0,6930.5625,3763.8378307396833,MediumRisk,MediumRisk
14,w1wr54evkj,ALRO,0.0,0.0,0.0,33800.64289556768,Compliant!,Compliant!
15,w1wr54ec2f,NonALRO,0.0,0.0,0.0,8173.551351557999,Compliant!,Compliant!
16,w1wr54e998,ALRO,0.0,0.0,0.0,5847.143185441304,Compliant!,Compliant!
17,w1wr54e171,NonALRO,0.0,0.0,0.0,13573.664474651523,Compliant!,Compliant!
18,w1wr5jvyvj,ALRO,0.0,0.0,0.0,8638.868504839196,Compliant!,Compliant!
19,w1wqgnk2ck,NonALRO,0.0,0.0,0.0,24298.653253722314,Compliant!,Compliant!
20,w1wqgnhf62,ALRO,0.0,0.0,0.0,26222.131303070822,Compliant!,Compliant!
21,w1wqgnyy7x,NonALRO,0.0,0.0,0.0,15264.75525169417,Compliant!,Compliant!
22,w1wqgnxnud,ALRO,0.0,0.0,0.0,14546.182152799425,Compliant!,Compliant!
23,w1wqgnx4qx,NonALRO,0.0,0.0,0.0,8456.110495760495,Compliant!,Compliant!
24,w1wqgpry92,ALRO,0.0,0.0,0.0,19686.140261644377,Compliant!,Compliant!
25,w1wqgpxuj0,NonALRO,0.0,0.0,0.0,32813.71891982896,Compliant!,Compliant!
26,w1wr50ds28,ALRO,0.0,0.0,5048.1875,14295.436234637757,Compliant!,MediumRisk
27,w1wr50dj3c,NonALRO,0.0,0.0,10096.375,8475.551491614104,MediumRisk,MediumRisk
28,w1wr509xy4,ALRO,0.0,0.0,1454.5625,22612.321570113905,Compliant!,MediumRisk
29,w1wr50bdf3,NonALRO,7443.9375,0.0,9754.125,40519.85339386462,Compliant!,HighRisk
30,w1wqgpyptm,ALRO,0.0,0.0,0.0,8066.005401952198,Compliant!,Compliant!
31,w1wr50jbvb,NonALRO,0.0,0.0,0.0,6932.2904341890335,Compliant!,Compliant!
32,w1wr50mf9w,ALRO,0.0,0.0,0.0,63553.02144425713,Compliant!,Compliant!
33,w1wr5jgm8d,ALRO,0.0,0.0,342.25,12654.57767595228,Compliant!,MediumRisk
34,w1wr51q7hn,NonALRO,0.0,0.0,0.0,8384.289901917597,Compliant!,Compliant!
35,w1wr51mdyx,ALRO,0.0,0.0,3422.5,20357.461995208774,Compliant!,MediumRisk
36,w1wr5jgfqv,NonALRO,0.0,0.0,0.0,20834.896333897454,Compliant!,Compliant!
37,w1wr5n4f09,ALRO,0.0,0.0,2994.6875,3336.1799562301894,Compliant!,MediumRisk
38,w1wr5n4k29,NonALRO,0.0,0.0,513.375,2811.1818614878184,Compliant!,MediumRisk
39,w1wr5n68cf,ALRO,0.0,0.0,171.125,8379.576918456494,Compliant!,MediumRisk
40,w1wr5m0m6x,NonALRO,0.0,0.0,0.0,4123.815765746986,Compliant!,Compliant!
41,w1wr51ed0p,ALRO,0.0,0.0,0.0,24066.650314674564,Compliant!,Compliant!
42,w1wr5k1246,ALRO,0.0,0.0,11379.8125,65507.65260693127,Compliant!,MediumRisk
43,w1wr55zcdq,NonALRO,0.0,0.0,1283.4375,11937.606376781161,Compliant!,MediumRisk
44,w1wr55rphp,ALRO,0.0,0.0,0.0,11949.964691661204,Compliant!,Compliant!
45,w1wr5kcxgg,NonALRO,0.0,0.0,513.375,34644.30452313628,Compliant!,MediumRisk
46,w1wr5m3yve,ALRO,0.0,0.0,0.0,9808.108061198958,Compliant!,Compliant!
47,w1wr5juvjf,ALRO,0.0,0.0,1112.3125,1512.2530323367127,Compliant!,MediumRisk
48,w1wr5jy11r,NonALRO,0.0,0.0,2310.1875,5877.337392794288,Compliant!,MediumRisk
49,w1wr5jxzpr,ALRO,0.0,0.0,0.0,40131.11834491911,Compliant!,Compliant!
50,w1wr5m81v8,NonALRO,0.0,0.0,0.0,15316.01310935547,Compliant!,Compliant!
51,w1wr5mbfnm,ALRO,0.0,0.0,0.0,10906.305162734665,Compliant!,Compliant!
52,w1wr5jrjjz,NonALRO,0.0,0.0,0.0,1332.647576612122,Compliant!,Compliant!
53,w1wr5jr7z3,ALRO,0.0,0.0,0.0,1310.2256676386326,Compliant!,Compliant!
54,w1wr5jrf4w,NonALRO,0.0,0.0,0.0,1258.2013625389598,Compliant!,Compliant!
55,w1wr5jrcps,ALRO,0.0,0.0,0.0,444.41865850765146,Compliant!,Compliant!
56,w1wr5m950b,NonALRO,0.0,0.0,5048.1875,35065.870625893476,Compliant!,MediumRisk
57,w1wr5m3m6b,ALRO,0.0,0.0,0.0,27518.1135081435,Compliant!,Compliant!
58,w1wr5m1xrv,NonALRO,0.0,0.0,0.0,42378.86454284235,Compliant!,Compliant!
59,w1wr53ck6r,ALRO,0.0,0.0,0.0,12712.72200249237,Compliant!,Compliant!
60,w1wr560c4x,NonALRO,0.0,0.0,0.0,32946.228630537575,Compliant!,Compliant!
61,w1wr5n9thr,NonALRO,0.0,0.0,0.0,2513.0818838674168,Compliant!,Compliant!
62,w1wr5n1zuc,ALRO,0.0,0.0,342.25,6981.315890090793,Compliant!,MediumRisk
63,w1wr51mqdk,NonALRO,0.0,0.0,85.5625,26412.010953777593,Compliant!,MediumRisk
64,w1wr51ksgj,ALRO,0.0,0.0,0.0,45448.157347810156,Compliant!,Compliant!
65,w1wr51ubh3,NonALRO,0.0,0.0,0.0,36608.32221562952,Compliant!,Compliant!
66,w1wr51umvj,ALRO,0.0,0.0,0.0,46653.03066747718,Compliant!,Compliant!
67,w1wr545pg6,NonALRO,0.0,0.0,0.0,4063.486840723369,Compliant!,Compliant!
68,w1wr545qx7,ALRO,0.0,0.0,0.0,9504.039037683731,Compliant!,Compliant!
69,w1wr547f2n,NonALRO,0.0,0.0,0.0,1728.5288425004446,Compliant!,Compliant!
70,w1wr54k0qb,ALRO,0.0,0.0,0.0,3152.318054715557,Compliant!,Compliant!
71,w1wr54jnyn,NonALRO,0.0,0.0,0.0,14511.335572636319,Compliant!,Compliant!
72,w1wr54jufc,ALRO,0.0,0.0,0.0,8318.619542301429,Compliant!,Compliant!
73,w1wr54q3yr,NonALRO,0.0,0.0,0.0,20372.88929950124,Compliant!,Compliant!
74,w1wr54rn8n,ALRO,0.0,0.0,0.0,6426.515700539294,Compliant!,Compliant!
75,w1wr54rs2t,NonALRO,0.0,0.0,0.0,25103.48886149771,Compliant!,Compliant!
76,w1wr5625vc,ALRO,0.0,0.0,0.0,18668.70192446966,Compliant!,Compliant!
77,w1wr51xcv3,ALRO,0.0,0.0,5647.125,50198.9145989677,Compliant!,MediumRisk
78,w1wr51xhu2,NonALRO,0.0,0.0,513.375,23408.657361287256,Compliant!,MediumRisk
79,w1wr51wxzu,ALRO,0.0,0.0,3764.75,20048.83650825523,Compliant!,MediumRisk
80,w1wr51y7kz,NonALRO,0.0,0.0,0.0,19900.691620415597,Compliant!,Compliant!
81,w1wr5601st,ALRO,0.0,0.0,0.0,26010.048147727022,Compliant!,Compliant!
82,w1wr54pd86,NonALRO,0.0,0.0,0.0,15422.40606736023,Compliant!,Compliant!
83,w1wr54ngy0,ALRO,0.0,0.0,0.0,7492.242878569944,Compliant!,Compliant!
84,w1wr54n0jv,NonALRO,0.0,0.0,0.0,12150.204107943942,Compliant!,Compliant!
85,w1wr54nkxh,ALRO,0.0,0.0,0.0,637.5339770643101,Compliant!,Compliant!
86,w1wr562dxg,NonALRO,0.0,0.0,0.0,8136.817058157147,Compliant!,Compliant!
87,w1wr569356,NonALRO,0.0,0.0,0.0,18630.137442994135,Compliant!,Compliant!
88,w1wr5jnu2p,NonALRO,0.0,0.0,8727.375,7087.886777620564,MediumRisk,MediumRisk
89,w1wr5jnqqc,ALRO,0.0,0.0,8641.8125,9458.077072852964,Compliant!,MediumRisk
90,w1wr5jq731,NonALRO,0.0,0.0,684.5,18542.742252197182,Compliant!,MediumRisk
91,w1wr5jjxc1,ALRO,0.0,0.0,1454.5625,13535.0278173431,Compliant!,MediumRisk
92,w1wr5jmzqf,NonALRO,0.0,0.0,0.0,14445.852585904075,Compliant!,Compliant!
93,w1wr5jt2vs,ALRO,0.0,0.0,0.0,24421.929078991052,Compliant!,Compliant!
94,w1wr5jth4j,NonALRO,0.0,0.0,598.9375,21885.944812088434,Compliant!,MediumRisk
95,w1wr571mqg,ALRO,0.0,0.0,0.0,14323.901852007244,Compliant!,Compliant!
96,w1wr571fsy,NonALRO,0.0,0.0,0.0,15062.600518068612,Compliant!,Compliant!
97,w1wr56ctku,ALRO,0.0,0.0,0.0,5088.707775718663,Compliant!,Compliant!
98,w1wr568zp4,NonALRO,0.0,0.0,0.0,25692.913734823625,Compliant!,Compliant!
99,w1wr568h87,ALRO,0.0,0.0,0.0,4367.254040138145,Compliant!,Compliant!
100,w1wr56b947,NonALRO,0.0,0.0,0.0,7455.333183152223,Compliant!,Compliant!
101,w1wr56cp70,ALRO,0.0,0.0,0.0,3588.9153517547056,Compliant!,Compliant!
102,w1wr56b3c1,NonALRO,0.0,0.0,0.0,6793.493166591574,Compliant!,Compliant!
103,w1wr55pcrh,NonALRO,0.0,0.0,0.0,2884.01870511298,Compliant!,Compliant!
104,w1wr570qgc,ALRO,0.0,0.0,0.0,6548.46457751591,Compliant!,Compliant!
105,w1wr55pv0m,NonALRO,0.0,0.0,0.0,9793.45490101333,Compliant!,Compliant!
106,w1wr5721vg,ALRO,0.0,0.0,0.0,6285.350413243123,Compliant!,Compliant!
107,w1wr57359g,ALRO,0.0,0.0,0.0,3993.2821751389083,Compliant!,Compliant!
108,w1wr573rcu,NonALRO,0.0,0.0,1369.0,29026.42990462843,Compliant!,MediumRisk
109,w1wr55rygw,ALRO,0.0,0.0,0.0,38595.58026937653,Compliant!,Compliant!
110,w1wr55xyk9,NonALRO,0.0,0.0,0.0,10426.77168217505,Compliant!,Compliant!
111,w1wr55wsky,ALRO,0.0,0.0,0.0,33396.06484444058,Compliant!,Compliant!
112,w1wr55tu5c,NonALRO,0.0,0.0,0.0,6771.801128467169,Compliant!,Compliant!
113,w1wr55y6w2,ALRO,0.0,0.0,0.0,13325.855615621775,Compliant!,Compliant!
114,w1wr55zsc6,NonALRO,0.0,0.0,4021.4375,13904.329431278355,Compliant!,MediumRisk
115,w1wr5hr2zb,ALRO,0.0,0.0,3165.8125,89691.49125846209,Compliant!,MediumRisk
116,w1wr5k3542,NonALRO,0.0,0.0,2566.875,5638.586664132281,Compliant!,MediumRisk
117,w1wr5ju8j1,ALRO,0.0,0.0,3935.875,13893.251081226561,Compliant!,MediumRisk
118,w1wr539k4t,ALRO,0.0,0.0,0.0,24325.068218618413,Compliant!,Compliant!
119,w1wr5326n6,NonALRO,0.0,0.0,0.0,15997.786224798569,Compliant!,Compliant!
120,w1wr51rcth,ALRO,0.0,0.0,0.0,6021.593201550931,Compliant!,Compliant!
121,w1wr5hxyhs,NonALRO,0.0,0.0,5561.5625,24723.066537150477,Compliant!,MediumRisk
122,w1wr5hzyue,ALRO,0.0,0.0,0.0,14954.649409835854,Compliant!,Compliant!
123,w1wr5jp9br,NonALRO,0.0,0.0,4791.5,18396.917190223714,Compliant!,MediumRisk
124,w1wr5jngp8,ALRO,0.0,0.0,1540.125,13453.880876072366,Compliant!,MediumRisk
125,w1wr513but,ALRO,0.0,0.0,1711.25,6933.497994289995,Compliant!,MediumRisk
126,w1wr579576,NonALRO,0.0,0.0,7187.25,7898.6172916967735,Compliant!,MediumRisk
127,w1wr54t1x0,ALRO,0.0,0.0,0.0,8951.24142670221,Compliant!,Compliant!
128,w1wr55hwy8,NonALRO,0.0,0.0,0.0,7750.34595987809,Compliant!,Compliant!
129,w1wr55j4hd,ALRO,0.0,0.0,0.0,8888.19210438263,Compliant!,Compliant!
130,w1wr54vtbq,NonALRO,0.0,0.0,0.0,11050.92084316546,Compliant!,Compliant!
131,w1wr54yk64,ALRO,0.0,0.0,0.0,46241.920322176076,Compliant!,Compliant!
132,w1wr55njve,ALRO,0.0,0.0,0.0,28494.517595935187,Compliant!,Compliant!
133,w1wr54tkvd,NonALRO,0.0,0.0,0.0,14352.486973607316,Compliant!,Compliant!
134,w1wr54uv6t,ALRO,0.0,0.0,0.0,11374.98309502143,Compliant!,Compliant!
135,w1wr55h0rr,NonALRO,0.0,0.0,0.0,7975.501405616518,Compliant!,Compliant!
136,w1wr54u9q0,ALRO,0.0,0.0,0.0,4428.997681587705,Compliant!,Compliant!
137,w1wr54sqgt,NonALRO,0.0,0.0,0.0,44223.70129167356,Compliant!,Compliant!
138,w1wr5n59fz,ALRO,0.0,0.0,342.25,4876.543926714002,Compliant!,MediumRisk
139,w1wr5n55ue,NonALRO,0.0,0.0,1369.0,37.518831835238416,MediumRisk,MediumRisk
140,w1wr5mcrh1,ALRO,0.0,0.0,0.0,19429.203979712183,Compliant!,Compliant!
141,w1wqgm1wg2,NonALRO,0.0,0.0,0.0,46982.19332619451,Compliant!,Compliant!
142,w1wqgjpe9m,ALRO,0.0,0.0,0.0,22617.415871185556,Compliant!,Compliant!
143,w1wqgm0p8d,NonALRO,0.0,0.0,0.0,9774.78331040135,Compliant!,Compliant!
144,w1wr51jugw,ALRO,0.0,0.0,4620.375,9239.584605369799,Compliant!,MediumRisk
145,w1wr51h3xh,NonALRO,0.0,0.0,85.5625,33103.11616230734,Compliant!,MediumRisk
146,w1wqgn1wcp,ALRO,0.0,0.0,0.0,29808.69549246631,Compliant!,Compliant!
147,w1wqgn0r7t,NonALRO,0.0,0.0,0.0,28049.811361011667,Compliant!,Compliant!
148,w1wqfyr0n6,ALRO,0.0,0.0,0.0,32493.07081567051,Compliant!,Compliant!
149,w1wr528s15,NonALRO,0.0,0.0,0.0,16552.31621546509,Compliant!,Compliant!
150,w1wqfvwbjt,NonALRO,0.0,0.0,0.0,9994.963853873138,Compliant!,Compliant!
151,w1wqfvw6kd,ALRO,0.0,0.0,1625.6875,28219.17909499816,Compliant!,MediumRisk
152,w1wqgkbmg3,ALRO,0.0,0.0,0.0,22333.404634996416,Compliant!,Compliant!
153,w1wqgrc5jp,ALRO,0.0,0.0,0.0,30613.066072125785,Compliant!,Compliant!
154,w1wqgju818,NonALRO,0.0,0.0,0.0,29401.66975785222,Compliant!,Compliant!
155,w1wqgj7sgf,ALRO,0.0,0.0,0.0,39272.023073837416,Compliant!,Compliant!
156,w1wqgj4fyz,NonALRO,0.0,0.0,0.0,16861.103758866644,Compliant!,Compliant!
157,w1wqgj582b,ALRO,0.0,0.0,0.0,16145.81475761146,Compliant!,Compliant!
158,w1wqgj4xk4,NonALRO,0.0,0.0,941.1875,5824.832512060491,Compliant!,MediumRisk
159,w1wqgje4v9,ALRO,0.0,0.0,4620.375,46670.92072604325,Compliant!,MediumRisk
160,w1wqgr0tqs,NonALRO,0.0,0.0,0.0,5337.686843404566,Compliant!,Compliant!
161,w1wqgr0467,ALRO,0.0,0.0,0.0,12251.929305718491,Compliant!,Compliant!
162,w1wqgnzx0h,NonALRO,0.0,0.0,0.0,2312.989399022793,Compliant!,Compliant!
163,w1wqgqbmne,NonALRO,0.0,0.0,0.0,35403.71223819722,Compliant!,Compliant!
164,w1wqgq8npx,NonALRO,0.0,0.0,0.0,28890.407345828175,Compliant!,Compliant!
165,w1wqgq9n55,ALRO,0.0,0.0,0.0,25015.437115633926,Compliant!,Compliant!
166,w1wr50zx1b,ALRO,0.0,0.0,2139.0625,25213.522214129698,Compliant!,MediumRisk
167,w1wr51nbk8,NonALRO,0.0,0.0,7101.6875,21378.33953883978,Compliant!,MediumRisk
168,w1wqgr225d,NonALRO,0.0,0.0,0.0,2542.30131415012,Compliant!,Compliant!
169,w1wqgjdknf,ALRO,0.0,0.0,0.0,797.4035026996595,Compliant!,Compliant!
170,w1wqgjdtgq,NonALRO,0.0,0.0,0.0,692.0447819752009,Compliant!,Compliant!
171,w1wqgjgqj6,ALRO,0.0,0.0,0.0,35485.90806461249,Compliant!,Compliant!
172,w1wqgjfkpx,NonALRO,0.0,0.0,0.0,13214.854411617527,Compliant!,Compliant!
173,w1wqgn5jur,ALRO,0.0,0.0,0.0,16898.949952660416,Compliant!,Compliant!
174,w1wqgn4gw5,NonALRO,0.0,0.0,0.0,5510.748470191112,Compliant!,Compliant!
175,w1wqgn4rrt,ALRO,0.0,0.0,0.0,14382.439713537591,Compliant!,Compliant!
176,w1wqgn6yd6,NonALRO,0.0,0.0,0.0,7809.628082395783,Compliant!,Compliant!
177,w1wqgnd2h7,ALRO,0.0,0.0,0.0,4850.202837895056,Compliant!,Compliant!
178,w1wqfvqe1x,NonALRO,0.0,0.0,0.0,10488.821389650475,Compliant!,Compliant!
179,w1wqfvpp8r,ALRO,0.0,0.0,0.0,38003.138827971656,Compliant!,Compliant!
180,w1wqfvrcnf,NonALRO,0.0,0.0,0.0,13860.619177113847,Compliant!,Compliant!
181,w1wqgj22vx,ALRO,0.0,0.0,0.0,8711.399996210355,Compliant!,Compliant!
182,w1wqgj305t,NonALRO,0.0,0.0,0.0,25328.17164276909,Compliant!,Compliant!
183,w1wqgj3fb4,ALRO,0.0,0.0,0.0,598.5964732136422,Compliant!,Compliant!
184,w1wqgj6npq,NonALRO,0.0,0.0,0.0,16180.44938605993,Compliant!,Compliant!
185,w1wqgjd00r,ALRO,0.0,0.0,0.0,1418.29049742059,Compliant!,Compliant!
186,w1wqgjd5vx,NonALRO,0.0,0.0,0.0,11291.692389812952,Compliant!,Compliant!
187,w1wqgj2x6x,ALRO,0.0,0.0,0.0,32018.42645170185,Compliant!,Compliant!
188,w1wqgj8hpw,NonALRO,0.0,0.0,0.0,38357.04909084147,Compliant!,Compliant!
189,w1wqgjb80r,ALRO,0.0,0.0,0.0,35291.49476312694,Compliant!,Compliant!
190,w1wqgjbs2h,NonALRO,0.0,0.0,0.0,36285.73528308354,Compliant!,Compliant!
191,w1wqgjfpwb,ALRO,0.0,0.0,0.0,10637.259999197824,Compliant!,Compliant!
192,w1wqgr2vhj,NonALRO,0.0,0.0,0.0,23466.536889548435,Compliant!,Compliant!
193,w1wr521h08,ALRO,0.0,0.0,0.0,48928.6687218694,Compliant!,Compliant!
194,w1wr520k02,NonALRO,0.0,0.0,0.0,57389.512919925124,Compliant!,Compliant!
195,w1wr50pe9y,ALRO,0.0,0.0,0.0,30439.661719713993,Compliant!,Compliant!
196,w1wr50ngxx,NonALRO,0.0,0.0,0.0,36553.83796044956,Compliant!,Compliant!
197,w1wr50rxku,ALRO,0.0,0.0,0.0,5176.843536456243,Compliant!,Compliant!
198,w1wr52crkj,NonALRO,0.0,0.0,0.0,37889.58415968617,Compliant!,Compliant!
199,w1wr50xzdn,NonALRO,0.0,0.0,8470.6875,13602.15733847367,Compliant!,MediumRisk
200,w1wr5309te,ALRO,0.0,0.0,0.0,32688.434993632432,Compliant!,Compliant!
201,w1wr51n4m0,NonALRO,0.0,0.0,0.0,38757.906575705805,Compliant!,Compliant!
202,w1wr50s0u6,NonALRO,0.0,0.0,342.25,14201.258758990543,Compliant!,MediumRisk
203,w1wr514m2h,ALRO,0.0,0.0,0.0,13976.849300266058,Compliant!,Compliant!
204,w1wr5148fw,NonALRO,0.0,0.0,0.0,4431.917036446195,Compliant!,Compliant!
205,w1wr5118pp,ALRO,0.0,0.0,0.0,14992.172012306813,Compliant!,Compliant!
206,w1wr5114zx,NonALRO,0.0,0.0,0.0,8055.436829533982,Compliant!,Compliant!
207,w1wr50x1sb,NonALRO,0.0,0.0,0.0,6999.908428890792,Compliant!,Compliant!
208,w1wr50q9u8,ALRO,0.0,0.0,0.0,19296.186442429065,Compliant!,Compliant!
209,w1wr50wt9k,NonALRO,0.0,0.0,0.0,10927.712920092672,Compliant!,Compliant!
210,w1wr50tz1n,ALRO,0.0,0.0,0.0,2733.869079660217,Compliant!,Compliant!
211,w1wr50u9zg,NonALRO,0.0,0.0,770.0625,3866.236932754742,Compliant!,MediumRisk
212,w1wr50mjm8,ALRO,0.0,0.0,0.0,15192.14830995167,Compliant!,Compliant!
213,w1wr50kz36,NonALRO,0.0,0.0,0.0,27710.70892589655,Compliant!,Compliant!
214,w1wqfuy1uz,ALRO,0.0,0.0,0.0,62383.2200716678,Compliant!,Compliant!
215,w1wqfuz5f8,NonALRO,0.0,0.0,0.0,7536.615774352916,Compliant!,Compliant!
216,w1wqfuzt6q,NonALRO,0.0,0.0,0.0,12203.910936948132,Compliant!,Compliant!
217,w1wqghbr2d,ALRO,0.0,0.0,0.0,8220.67017201709,Compliant!,Compliant!
218,w1wqghb7u9,NonALRO,0.0,0.0,0.0,30694.389906353335,Compliant!,Compliant!
219,w1wqfuwumh,ALRO,0.0,0.0,0.0,12609.045940480926,Compliant!,Compliant!
220,w1wqfuxun6,NonALRO,0.0,0.0,0.0,59555.05979432018,Compliant!,Compliant!
221,w1wqfun4bs,ALRO,0.0,0.0,0.0,20780.292277600383,Compliant!,Compliant!
222,w1wqgh956v,ALRO,0.0,0.0,0.0,49659.8451406142,Compliant!,Compliant!
223,w1wqfur1jp,NonALRO,0.0,0.0,0.0,41776.58138424788,Compliant!,Compliant!
224,w1wqgh39cq,ALRO,0.0,0.0,0.0,43611.26083883741,Compliant!,Compliant!
225,w1wqgh7x4r,NonALRO,0.0,0.0,0.0,16422.67695618124,Compliant!,Compliant!
226,w1wqgh7euq,ALRO,0.0,0.0,0.0,12413.57533005023,Compliant!,Compliant!
227,w1wqgh79jg,NonALRO,0.0,0.0,0.0,18621.604670407716,Compliant!,Compliant!
228,w1wqghjspw,ALRO,0.0,0.0,0.0,26859.513886709112,Compliant!,Compliant!
229,w1wqfusqtv,NonALRO,0.0,0.0,0.0,19975.56717327242,Compliant!,Compliant!
230,w1wqfusc84,ALRO,0.0,0.0,0.0,11835.691804340295,Compliant!,Compliant!
231,w1wqfutnhx,NonALRO,0.0,0.0,0.0,9199.625146394363,Compliant!,Compliant!
232,w1wqghy17m,ALRO,0.0,0.0,0.0,56555.189090440865,Compliant!,Compliant!
233,w1wqghwwv5,NonALRO,0.0,0.0,0.0,30616.48822586042,Compliant!,Compliant!
234,w1wqghwg9z,ALRO,0.0,0.0,0.0,21950.76511371258,Compliant!,Compliant!
235,w1wqgjsb04,NonALRO,0.0,0.0,0.0,44686.67276291428,Compliant!,Compliant!
236,w1wqgjn46k,ALRO,0.0,0.0,0.0,66129.43507163777,Compliant!,Compliant!
237,w1wr5k9rjv,ALRO,0.0,0.0,14545.625,9214.85856671234,MediumRisk,MediumRisk
238,w1wr5jpz3z,NonALRO,0.0,0.0,0.0,558.2349556521607,Compliant!,Compliant!
239,w1wr5hzgv6,NonALRO,0.0,0.0,0.0,12219.562955584093,Compliant!,Compliant!
